Industrial classes / branches (SIC2008);Periods;Wage per job/Hourly wage (euro)
M Other specialised business services;2014;27,75
A Agriculture, forestry and fishing;2014;15,74
A-U All economic activities;2014;21,58
C Manufacturing;2014;21,81
F Construction;2014;22,13
G Wholesale and retail trade;2014;18,37
H Transportation and storage;2014;20,53
I Accommodation and food serving;2014;13,12
S Other service activities;2014;19,86
M Other specialised business services;2015;28,03
A Agriculture, forestry and fishing;2015;15,91
A-U All economic activities;2015;22,08
C Manufacturing;2015;22,67
F Construction;2015;22,29
G Wholesale and retail trade;2015;18,56
H Transportation and storage;2015;21,02
I Accommodation and food serving;2015;13,11
S Other service activities;2015;20,4
M Other specialised business services;2016;27,85
A Agriculture, forestry and fishing;2016;16,02
A-U All economic activities;2016;22,13
C Manufacturing;2016;22,83
F Construction;2016;23,01
G Wholesale and retail trade;2016;18,43
H Transportation and storage;2016;20,99
I Accommodation and food serving;2016;13
S Other service activities;2016;20,62
M Other specialised business services;2017;28,37
A Agriculture, forestry and fishing;2017;16,18
A-U All economic activities;2017;22,23
C Manufacturing;2017;23,23
F Construction;2017;23,1
G Wholesale and retail trade;2017;18,69
H Transportation and storage;2017;21,24
I Accommodation and food serving;2017;13,08
S Other service activities;2017;20,92
M Other specialised business services;2018;28,78
A Agriculture, forestry and fishing;2018;16,64
A-U All economic activities;2018;22,69
C Manufacturing;2018;23,8
F Construction;2018;23,69
G Wholesale and retail trade;2018;19,03
H Transportation and storage;2018;21,67
I Accommodation and food serving;2018;13,43
S Other service activities;2018;21,36
M Other specialised business services;2019;29,19
A Agriculture, forestry and fishing;2019;17,07
A-U All economic activities;2019;23,14
C Manufacturing;2019;24,4
F Construction;2019;24,08
G Wholesale and retail trade;2019;19,39
H Transportation and storage;2019;22,16
I Accommodation and food serving;2019;13,79
S Other service activities;2019;21,77
M Other specialised business services;2020;29,96
A Agriculture, forestry and fishing;2020;17,72
A-U All economic activities;2020;24,07
C Manufacturing;2020;25,3
F Construction;2020;24,7
G Wholesale and retail trade;2020;19,87
H Transportation and storage;2020;22,85
I Accommodation and food serving;2020;14,46
S Other service activities;2020;22,71
M Other specialised business services;2021;29,96
A Agriculture, forestry and fishing;2021;17,72
A-U All economic activities;2021;24,07
C Manufacturing;2021;25,3
F Construction;2021;24,7
G Wholesale and retail trade;2021;19,87
H Transportation and storage;2021;22,85
I Accommodation and food serving;2021;14,46
S Other service activities;2021;22,71
